,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
0,15563815,"224 Iris St, Redwood City, CA 94062",94062,37.480933,-122.24271,3.0,2.0,2140.0,2020-06-05 00:00:00,1929,6499.0,2020617.0,2075000.0,,,2020-04-22 15:00:00,1975000.0,1,2175021.0,2020-03-31,https://www.zillow.com/homedetails/224-Iris-St-Redwood-City-CA-94062/15563815_zpid/
1,15562574,"1175 Palomar Dr, Redwood City, CA 94062",94062,37.478244,-122.278756,4.0,5.0,3635.0,2020-05-29 00:00:00,1968,25155.0,2196032.0,2200000.0,Debbie Lamica,https://www.zillow.com/profile/Debbie-Lamica9/,2020-03-26 16:05:00,2800000.0,1,3233321.0,2020-02-29,https://www.zillow.com/homedetails/1175-Palomar-Dr-Redwood-City-CA-94062/15562574_zpid/
2,15562613,"1533 Edmond Dr, San Carlos, CA 94070",94070,37.476425,-122.278999,4.0,3.0,2950.0,2020-05-22 00:00:00,1983,11153.0,2242324.0,2250000.0,Jennifer Gilson,https://www.zillow.com/profile/Jennifer-Gilson/,2020-04-07 17:38:00,2248000.0,1,2730895.0,2020-03-31,https://www.zillow.com/homedetails/1533-Edmond-Dr-San-Carlos-CA-94070/15562613_zpid/
3,15559070,"1326 Crestview Dr, San Carlos, CA 94070",94070,37.478554,-122.281713,4.0,4.0,2914.0,2020-05-22 00:00:00,1973,14348.0,2670858.0,2680000.0,Joe Schembri,https://www.zillow.com/profile/A-Name-You-Can-Trust/,2019-10-30 09:24:00,2848000.0,2,2289935.0,2019-09-30,https://www.zillow.com/homedetails/1326-Crestview-Dr-San-Carlos-CA-94070/15559070_zpid/
4,15589846,"620 Eastview Way, Woodside, CA 94062",94062,37.458636,-122.27626,4.0,4.0,4008.0,2020-05-21 00:00:00,1969,16456.0,2789806.0,2800000.0,,,2020-04-14 10:28:00,2850000.0,1,3703665.0,2020-03-31,https://www.zillow.com/homedetails/620-Eastview-Way-Woodside-CA-94062/15589846_zpid/
5,15560830,"2125 Eaton Ave, San Carlos, CA 94070",94070,37.484996,-122.254061,3.0,2.0,1760.0,2020-05-18 00:00:00,1948,9347.0,2414502.0,2425000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2020-04-17 18:27:00,2350000.0,1,2069243.0,2020-03-31,https://www.zillow.com/homedetails/2125-Eaton-Ave-San-Carlos-CA-94070/15560830_zpid/
6,181458030,"18 Ethel Ct, Redwood City, CA 94061",94061,37.455923,-122.242346,3.0,2.0,2150.0,2020-05-15 00:00:00,1954,11016.0,2376905.0,2388888.0,Ed Gory,https://www.zillow.com/profile/egory/,2020-04-12 15:17:00,2199000.0,1,2185080.0,2020-03-31,https://www.zillow.com/homedetails/18-Ethel-Ct-Redwood-City-CA-94061/181458030_zpid/
7,64470138,"3875 Jefferson Ave, Emerald Hills, CA 94062",94062,37.460483,-122.260654,4.0,2.0,2486.0,2020-05-11 15:00:00,1952,27055.0,3106461.0,3125000.0,,,2020-02-07 07:29:00,3450000.0,1,3153800.0,2020-01-31,https://www.zillow.com/homedetails/3875-Jefferson-Ave-Emerald-Hills-CA-94062/64470138_zpid/
8,15571990,"3662 Highland Ave, Redwood City, CA 94062",94062,37.466719,-122.255187,3.0,3.0,1850.0,2020-05-08 00:00:00,1968,7139.0,1986762.0,2000000.0,,,,,0,1983600.0,2020-04-30,https://www.zillow.com/homedetails/3662-Highland-Ave-Redwood-City-CA-94062/15571990_zpid/
9,15562584,"1031 Palomar Dr, Redwood City, CA 94062",94062,37.47901,-122.275851,4.0,3.0,2795.0,2020-04-28 00:00:00,1967,51000.0,2651120.0,2675000.0,,,2020-03-13 00:19:00,2588000.0,1,2880918.0,2020-02-29,https://www.zillow.com/homedetails/1031-Palomar-Dr-Redwood-City-CA-94062/15562584_zpid/
10,79844551,"50 Palomar Oaks Ln, Redwood City, CA 94062",94062,37.477472,-122.263066,4.0,5.0,4740.0,2020-04-24 15:00:00,2007,20011.0,3280103.0,3312800.0,Alex Wang,https://www.zillow.com/profile/AlexWang/,2020-03-10 14:22:00,3398000.0,1,3674370.0,2020-02-29,https://www.zillow.com/homedetails/50-Palomar-Oaks-Ln-Redwood-City-CA-94062/79844551_zpid/
11,15564683,"342 Iris St, Redwood City, CA 94062",94062,37.479265,-122.240618,3.0,3.0,2120.0,2020-04-10 15:00:00,1931,6499.0,2220385.0,2250000.0,,,,,0,2255721.0,2020-03-31,https://www.zillow.com/homedetails/342-Iris-St-Redwood-City-CA-94062/15564683_zpid/
12,15591171,"2052 Hampton Ave, Redwood City, CA 94061",94061,37.460958,-122.233873,3.0,2.0,1999.0,2020-04-07 15:00:00,1950,9909.0,2239509.0,2271000.0,Samie Goodman,https://www.zillow.com/profile/SamieGoodman/,2020-02-28 11:24:00,1975000.0,1,2020104.0,2020-01-31,https://www.zillow.com/homedetails/2052-Hampton-Ave-Redwood-City-CA-94061/15591171_zpid/
13,15572586,"3745 Farm Hill Blvd, Redwood City, CA 94061",94061,37.456039,-122.249982,5.0,4.0,3851.0,2020-04-03 00:00:00,1958,9378.0,2453137.0,2490000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2020-01-31 19:49:00,2565000.0,1,2808944.0,2020-01-31,https://www.zillow.com/homedetails/3745-Farm-Hill-Blvd-Redwood-City-CA-94061/15572586_zpid/
14,15559348,"8 Belle Roche Ave, Redwood City, CA 94062",94062,37.479686,-122.263129,4.0,4.0,3472.0,2020-04-02 00:00:00,1998,35240.0,3201124.0,3250000.0,Burt Tsuei,https://www.zillow.com/profile/Real-Estate-Burt/,2020-02-21 15:28:00,2799000.0,1,2872817.0,2020-01-31,https://www.zillow.com/homedetails/8-Belle-Roche-Ave-Redwood-City-CA-94062/15559348_zpid/
15,15563862,"4 King St, Redwood City, CA 94062",94062,37.483166,-122.248617,3.0,2.0,2380.0,2020-03-31 00:00:00,1933,9060.0,2554815.0,2595000.0,Vicky Costantini,https://www.zillow.com/profile/vcostantini/,,,0,2297763.0,2020-02-29,https://www.zillow.com/homedetails/4-King-St-Redwood-City-CA-94062/15563862_zpid/
16,15571477,"579 Hillside Rd, Redwood City, CA 94062",94062,37.47084,-122.263554,3.0,3.0,2890.0,2020-03-27 00:00:00,1989,21780.0,2409982.0,2450000.0,,,2020-02-06 20:00:00,2399000.0,1,2363474.0,2020-01-31,https://www.zillow.com/homedetails/579-Hillside-Rd-Redwood-City-CA-94062/15571477_zpid/
17,15591895,"2665 Carolina Ave, Redwood City, CA 94061",94061,37.454139,-122.233179,4.0,2.0,1880.0,2020-03-26 15:00:00,1951,6050.0,1966909.0,2000000.0,Kathy and Colleen,https://www.zillow.com/profile/Kathy-and-Colleen/,2020-02-23 12:02:00,1900000.0,1,1871718.0,2020-01-31,https://www.zillow.com/homedetails/2665-Carolina-Ave-Redwood-City-CA-94061/15591895_zpid/
