,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
0,15564834,"547 King St, Redwood City, CA 94062",94062,37.476192,-122.238966,3.0,2.0,1600.0,2020-06-08 08:00:00,1922,6499.0,1754152.0,1755000.0,,,2020-05-22 13:46:00,1649000.0,1,1616738.0,2020-04-30,https://www.zillow.com/homedetails/547-King-St-Redwood-City-CA-94062/15564834_zpid/
1,15573635,"529 Quartz St, Redwood City, CA 94062",94062,37.47292,-122.243589,3.0,2.0,1450.0,2020-06-05 00:00:00,1927,7840.0,1523159.0,1525000.0,,,2020-04-23 10:06:00,1548000.0,1,1725189.0,2020-03-31,https://www.zillow.com/homedetails/529-Quartz-St-Redwood-City-CA-94062/15573635_zpid/
2,15563815,"224 Iris St, Redwood City, CA 94062",94062,37.480933,-122.24271,3.0,2.0,2140.0,2020-06-05 00:00:00,1929,6499.0,2072496.0,2075000.0,,,2020-04-22 15:00:00,1975000.0,1,2175021.0,2020-03-31,https://www.zillow.com/homedetails/224-Iris-St-Redwood-City-CA-94062/15563815_zpid/
3,15591065,"2833 Kensington Rd, Redwood City, CA 94061",94061,37.456475,-122.239476,3.0,1.0,1450.0,2020-06-03 00:00:00,1952,6441.0,1562357.0,1565000.0,Keri Nicholas,https://www.zillow.com/profile/kerinicholas/,2020-04-16 18:09:00,1588000.0,1,1514177.0,2020-03-31,https://www.zillow.com/homedetails/2833-Kensington-Rd-Redwood-City-CA-94061/15591065_zpid/
4,15591430,"2458 Massachusetts Ave, Redwood City, CA 94061",94061,37.456959,-122.232157,3.0,2.0,1120.0,2020-06-01 00:00:00,1950,5880.0,1426896.0,1430000.0,,,2020-04-23 09:20:00,1298000.0,1,1495213.0,2020-03-31,https://www.zillow.com/homedetails/2458-Massachusetts-Ave-Redwood-City-CA-94061/15591430_zpid/
5,15563644,"33 Iris St, Redwood City, CA 94062",94062,37.48436,-122.246077,5.0,5.0,4715.0,2020-05-31 00:00:00,2016,9099.0,4090053.0,4100000.0,,,2020-03-14 08:40:00,4350000.0,1,3767266.0,2020-02-29,https://www.zillow.com/homedetails/33-Iris-St-Redwood-City-CA-94062/15563644_zpid/
6,15591906,"2449 Carolina Ave, Redwood City, CA 94061",94061,37.455622,-122.231874,3.0,2.0,1676.0,2020-05-29 15:00:00,1951,6050.0,1719934.0,1725000.0,Jaime Lynn Jones and Julie Mariani Cassel,https://www.zillow.com/profile/Jaime-and-Julie/,2020-03-09 09:36:00,1648000.0,1,1767947.0,2020-02-29,https://www.zillow.com/homedetails/2449-Carolina-Ave-Redwood-City-CA-94061/15591906_zpid/
7,15573282,"321 Alameda De Las Pulgas, Redwood City, CA 94062",94062,37.474891,-122.250776,3.0,2.0,1520.0,2020-05-29 15:00:00,1949,5880.0,1324100.0,1360000.0,Bret Fouche,https://www.zillow.com/profile/BretRealEstateTeam/,2019-11-21 15:29:00,1500000.0,2,1563285.0,2019-10-31,https://www.zillow.com/homedetails/321-Alameda-De-Las-Pulgas-Redwood-City-CA-94062/15573282_zpid/
8,15570715,"180 Lakeview Way, Emerald Hills, CA 94062",94062,37.473406,-122.277158,3.0,3.0,1846.0,2020-05-29 00:00:00,1946,21780.0,1919347.0,1925000.0,,,2020-04-11 20:09:00,1995000.0,1,2135590.0,2020-03-31,https://www.zillow.com/homedetails/180-Lakeview-Way-Emerald-Hills-CA-94062/15570715_zpid/
9,15562574,"1175 Palomar Dr, Redwood City, CA 94062",94062,37.478244,-122.278756,4.0,5.0,3635.0,2020-05-29 00:00:00,1968,25155.0,2193540.0,2200000.0,Debbie Lamica,https://www.zillow.com/profile/Debbie-Lamica9/,2020-03-26 16:05:00,2800000.0,1,3233321.0,2020-02-29,https://www.zillow.com/homedetails/1175-Palomar-Dr-Redwood-City-CA-94062/15562574_zpid/
